4,,,lower,upper,g/day,,,g/day,,g/day,,mg/day,,,g/day,,g/day,,L/day,,mg/day,,,mg/day,,,mg/day niacin equivalents,,,mg/day,,,μg/day,,,μg/day,,,mg/day,,μg/day,,μg/day,,,mg/day,,,μg/day,,mg/day,,μg/day,,mg/day,,mg/day,,,mg/day,,,mg/day,,,mg/day,,,mg/day,,,μg/day,,,μg/day,,,μg/day,,,mg/day,,μg/day,,mg/day,,mg/day,,mg/day,,mg/day,
5,,,,,AI,,UL,AI,UL,AI,UL,AI,UL,,AI,UL,AI,UL,AI,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,UL,AI,UL,AI,,UL,AI,, UL,AI,UL,AI,UL,AI,UL,AI,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,UL,AI,UL,AI,UL,AI,UL,AI,UL,AI,UL
11,Children,,4y,8y,16,20,NP,8,NP,0.8,NP,55,,3000.0,,,18,NP,1.6 (1.2),NP,0.5,0.6,NP,0.5,0.6,NP,6,8,15,0.5,0.6,20,1,1.2,NP,160,200,400,4,NP,12,NP,275,400,900,25,35,NP,5,80,6,100,35,NP,250,1000,520,700,2500,405,500,3000,3,4,12,4,10,40,110,130,110,65,90,300,25,30,150,17,22,600,1,3,15,NP,2.5,NP,1.1,4.4,300–600,1400,2300,NP
12,Boys,male,9y,13y,31,40,NP,10,NP,1,NP,70,,3000.0,,,24,NP,2.2 (1.6),NP,0.7,0.9,NP,0.8,0.9,NP,9,12,20,0.8,1,30,1.5,1.8,NP,250,300,600,5,NP,20,NP,445,600,1700,28,40,NP,5,80,9,180,45,NP,375,1000,"800–1,050","1,000–1,300",2500,1055,1250,4000,5,6,25,6,8,40,200,240,350,75,120,600,40,50,280,26,34,1100,1.3,5,25,NP,3,NP,2,10,400–800,2000,3000,NP
13,Boys,male,14y,18y,49,65,NP,12,NP,1.2,NP,125,,3000.0,,,28,NP,2.7 (1.9),NP,1,1.2,NP,1.1,1.3,NP,12,16,30,1.1,1.3,40,2,2.4,NP,330,400,800,6,NP,30,NP,630,900,2800,28,40,NP,5,80,10,250,55,NP,550,3000,1050,1300,2500,1055,1250,4000,11,13,35,8,11,45,340,410,350,95,150,900,60,70,400,33,43,1700,1.5,8,35,NP,3.5,NP,3,10,460–920,2300,3600,NP
14,Girls,female,9y,13y,24,35,NP,8,NP,0.8,NP,70,,3000.0,,,20,NP,1.9 (1.4),NP,0.7,0.9,NP,0.8,0.9,NP,9,12,20,0.8,1,30,1.5,1.8,NP,250,300,600,4,NP,20,NP,420,600,1700,28,40,NP,5,80,8,180,45,NP,375,1000,"800–1,050","1,000–1,300",2500,1055,1250,4000,5,6,25,6,8,40,200,240,350,75,120,600,40,50,280,26,34,1100,1.1,5,21,NP,2.5,NP,2,10,400–800,2000,2500,NP
15,Girls,female,14y,18y,35,45,NP,8,NP,0.8,NP,85,,3000.0,,,22,NP,2.2 (1.6),NP,0.9,1.1,NP,0.9,1.1,NP,11,14,30,1,1.2,40,2,2.4,NP,330,400,800,4,NP,25,NP,485,700,2800,28,40,NP,5,80,8,250,55,NP,400,3000,1050,1300,2500,1055,1250,4000,6,7,35,8,15,45,300,360,350,95,150,900,50,60,400,33,43,1700,1.1,8,24,NP,3,NP,3,10,460–920,2300,2600,NP
16,Men,male,19y,30y,52,64,NP,13,NP,1.3,NP,160,,3000.0,,,30,NP,3.4 (2.6),NP,1,1.2,NP,1.1,1.3,NP,12,16,35,1.1,1.3,50,2,2.4,NP,320,400,1000,6,NP,30,NP,625,900,3000,30,45,NP,5,80,10,300,70,NP,550,3500,840,1000,2500,580,1000,4000,12,14,40,6,8,45,330,400,350,100,150,1100,60,70,400,34,45,2000,1.7,10,35,NP,5.5,NP,4,10,460–920,ND,3800,NP
17,Men,male,31y,50y,52,64,NP,13,NP,1.3,NP,160,,3000.0,,,30,NP,3.4 (2.6),NP,1,1.2,NP,1.1,1.3,NP,12,16,35,1.1,1.3,50,2,2.4,NP,320,400,1000,6,NP,30,NP,625,900,3000,30,45,NP,5,80,10,300,70,NP,550,3500,840,1000,2500,580,1000,4000,12,14,40,6,8,45,350,420,350,100,150,1100,60,70,400,34,45,2000,1.7,10,35,NP,5.5,NP,4,10,460–920,ND,3800,NP
18,Men,male,51y,70y,52,64,NP,13,NP,1.3,NP,160,,3000.0,,,30,NP,3.4 (2.6),NP,1,1.2,NP,1.1,1.3,NP,12,16,35,1.4,1.7,50,2,2.4,NP,320,400,1000,6,NP,30,NP,625,900,3000,30,45,NP,10,80,10,300,70,NP,550,3500,840,1000,2500,580,1000,4000,12,14,40,6,8,45,350,420,350,100,150,1100,60,70,400,34,45,2000,1.7,10,35,NP,5.5,NP,4,10,460–920,ND,3800,NP
19,Men,male,71y,,65,81,NP,13,NP,1.3,NP,160,,3000.0,,,30,NP,3.4 (2.6),NP,1,1.2,NP,1.3,1.6,NP,12,16,35,1.4,1.7,50,2,2.4,NP,320,400,1000,6,NP,30,NP,625,900,3000,30,45,NP,15,80,10,300,70,NP,550,3500,1100,1300,2500,580,1000,3000,12,14,40,6,8,45,350,420,350,100,150,1100,60,70,400,34,45,2000,1.7,10,35,NP,5.5,NP,4,10,460–920,ND,3800,NP
20,Women,female,19y,30y,37,46,NP,8,NP,0.8,NP,90,,3000.0,,,25,NP,2.8 (2.1),NP,0.9,1.1,NP,0.9,1.1,NP,11,14,35,1.1,1.3,50,2,2.4,NP,320,400,1000,4,NP,25,NP,500,700,3000,30,45,NP,5,80,7,300,60,NP,425,3500,840,1000,2500,580,1000,4000,6.5,8,40,8,18,45,255,310,350,100,150,1100,50,60,400,34,45,2000,1.2,10,25,NP,5,NP,3,10,460–920,ND,2800,NP
21,Women,female,31y,50y,37,46,NP,8,NP,0.8,NP,90,,3000.0,,,25,NP,2.8 (2.1),NP,0.9,1.1,NP,0.9,1.1,NP,11,14,35,1.1,1.3,50,2,2.4,NP,320,400,1000,4,NP,25,NP,500,700,3000,30,45,NP,5,80,7,300,60,NP,425,3500,840,1000,2500,580,1000,4000,6.5,8,40,8,18,45,265,320,350,100,150,1100,50,60,400,34,45,2000,1.2,10,25,NP,5,NP,3,10,460–920,ND,2800,NP
22,Women,female,51y,70y,37,46,NP,8,NP,0.8,NP,90,,3000.0,,,25,NP,2.8 (2.1),NP,0.9,1.1,NP,0.9,1.1,NP,11,14,35,1.3,1.5,50,2,2.4,NP,320,400,1000,4,NP,25,NP,500,700,3000,30,45,NP,10,80,7,300,60,NP,425,3500,1100,1300,2500,580,1000,4000,6.5,8,40,5,8,45,265,320,350,100,150,1100,50,60,400,34,45,2000,1.2,10,25,NP,5,NP,3,10,460–920,ND,2800,NP
23,Women,female,71y,,46,57,NP,8,NP,0.8,NP,90,,3000.0,,,25,NP,2.8 (2.1),NP,0.9,1.1,NP,1.1,1.3,NP,11,14,35,1.3,1.5,50,2,2.4,NP,320,400,1000,4,NP,25,NP,500,700,3000,30,45,NP,15,80,7,300,60,NP,425,3500,1100,1300,2500,580,1000,3000,6.5,8,40,5,8,45,265,320,350,100,150,1100,50,60,400,34,45,2000,1.2,10,25,NP,5,NP,3,10,460–920,ND,2800,NP
24,Pregnancy,female,14y,18y,47d,58d,NP,10,NP,1,NP,110,,3000.0,,,25,NP,2.4 (1.8),NP,1.2,1.4,NP,1.2,1.4,NP,14,18,30,1.6,1.9,40,2.2,2.6,NP,520,600,800,5,NP,30,NP,530,700,2800,38,55,NP,5,80,8,300,60,NP,415,3000,1050,1300,2500,1055,1250,3500,8.5,10,35,23,27,45,335,400,350,160,220,900,55,65,400,40,50,1700,1.2,8,30,NP,5,NP,3,10,460–920,2300,2800,NP
25,Pregnancy,female,19y,30y,49d,60d,NP,10,NP,1,NP,115,,3000.0,,,28,NP,3.1 (2.3),NP,1.2,1.4,NP,1.2,1.4,NP,14,18,35,1.6,1.9,50,2.2,2.6,NP,520,600,1000,5,NP,30,NP,550,800,3000,40,60,NP,5,80,7,300,60,NP,440,3500,840,1000,2500,580,1000,3500,9,11,40,22,27,45,290,350,350,160,220,1100,55,65,400,40,50,2000,1.3,10,30,NP,5,NP,3,10,460–920,ND,2800,NP
26,Pregnancy,female,31y,50y,49d,60d,NP,10,NP,1,NP,115,,3000.0,,,28,NP,3.1 (2.3),NP,1.2,1.4,NP,1.2,1.4,NP,14,18,35,1.6,1.9,50,2.2,2.6,NP,520,600,1000,5,NP,30,NP,550,800,3000,40,60,NP,5,80,7,300,60,NP,440,3500,840,1000,2500,580,1000,3500,9,11,40,22,27,45,300,360,350,160,220,1100,55,65,400,40,50,2000,1.3,10,30,NP,5,NP,3,10,460–920,ND,2800,NP
27,Lactation,female,14y,18y,51,63,NP,12,NP,1.2,NP,140,,3000.0,,,27,NP,2.9 (2.3),NP,1.2,1.4,NP,1.3,1.6,NP,13,17,30,1.7,2,40,2.4,2.8,NP,450,500,800,6,NP,35,NP,780,1100,2800,58,80,NP,5,80,12,300,60,NP,525,3000,1050,1300,2500,1055,1250,4000,9,11,35,7,10,45,300,360,350,190,270,900,65,75,400,35,50,1700,1.4,8,45,NP,5,NP,3,10,460–920,2300,3200,NP
28,Lactation,female,19y,30y,54,67,NP,12,NP,1.2,NP,145,,3000.0,,,30,NP,3.5 (2.6),NP,1.2,1.4,NP,1.3,1.6,NP,13,17,35,1.7,2,50,2.4,2.8,NP,450,500,1000,6,NP,35,NP,800,1100,3000,60,85,NP,5,80,11,300,60,NP,550,3500,840,1000,2500,580,1000,4000,10,12,40,6.5,9,45,255,310,350,190,270,1100,65,75,400,36,50,2000,1.5,10,45,NP,5,NP,3,10,460–920,ND,3200,NP
29,Lactation,female,31y,50y,54,67,NP,12,NP,1.2,NP,145,,3000.0,,,30,NP,3.5 (2.6),NP,1.2,1.4,NP,1.3,1.6,NP,13,17,35,1.7,2,50,2.4,2.8,NP,450,500,1000,6,NP,35,NP,800,1100,3000,60,85,NP,5,80,11,300,60,NP,550,3500,840,1000,2500,580,1000,4000,10,12,40,6.5,9,45,265,320,350,190,270,1100,65,75,400,36,50,2000,1.5,10,45,NP,5,NP,3,10,460–920,ND,3200,NP
